date_permit_issued,model_year,make,model,province_of_registration
2017-09-11,2006,NISSAN,INFINITY,PE
2017-09-07,2015,TOYOTA,RAV 4,PE
2017-08-29,2017,TOYOTA,COROLLA,PE
2017-09-19,2007,TOYOTA,YARIS,PE
2017-09-19,2016,TOYOTA,COROLLA,PE
2017-09-19,2017,CHEVROLET,CAMARO,PE
2017-09-18,2008,HYUNDAI,SONATA,PE
2017-09-18,2012,SUBARU,OUTBACK,PE
2017-10-04,1999,TOYOTA,COROLLA,PE
2017-09-08,2008,HONDA,CIVIC,PE
2017-09-08,2012,FORD,ESCAPE,PE
2017-09-08,2015,NISSAN,MURANO,PE
2017-09-19,2006,HONDA,ACCORD,PE
2017-09-15,2010,PONTIAC,G5,PE
2017-09-15,2014,CHRYSLER,TOWN & COUNTRY,PE
2017-09-08,2012,TOYOTA,MATRIX,PE
2017-08-29,2007,HUMMER,H3,PE
2017-09-07,2012,KIA,SOUL,PE
2017-09-13,2002,HONDA,CRV,PE
2017-09-11,2011,KIA,SEDONA,PE
2017-09-18,2016,TOYOTA,RAV 4,PE
2017-09-18,2008,HONDA,CIVIC,PE
2017-09-15,2017,TOYOTA,COROLLA,PE
2017-09-08,2010,GMC,SIERRA,PE
2017-09-11,2009,HONDA,CIVIC,PE
2017-09-11,2015,DODGE,RAM,PE
2017-09-18,2010,HONDA,ACCORD,PE
2017-09-19,2014,FORD,FOCUS,PE
2017-08-29,2011,CHEVROLET,CRUZE,PE
2017-09-12,2003,FORD,ESCAPE,PE
2017-09-15,2013,CHEVROLET,EQUINOX,PE
2017-09-07,2011,HONDA,CIVIC,PE
2017-09-15,2016,JEEP,CHEROKEE,PE
2017-09-07,2014,HONDA,CRV,PE
2017-09-21,2013,NISSAN,PATHFINDER,PE
2017-09-14,2010,DODGE,CARAVAN,PE
2017-09-14,1999,GMC,SIERRA,PE
2017-09-15,2017,FORD,ESCAPE,PE
2017-09-07,2009,TOYOTA,YARIS,PE
2017-09-15,2007,CHEVROLET,EQUINOX,PE
2017-09-06,2015,HONDA,FIT,PE
2017-08-29,2016,KIA,SORENTO,BC
2017-09-11,2016,TOYOTA,COROLLA,PE
2017-09-08,2004,TOYOTA,COROLLA,PE
2017-09-18,2006,TOYOTA,CAMRY,PE
2017-09-18,2006,TOYOTA,FJ CRUISER,PE
2017-08-28,2005,TOYOTA,COROLLA,PE
2017-09-14,2009,KIA,RIO,PE
2017-08-28,2017,HONDA,ACCORD,PE
2017-09-18,2015,HONDA,FIT,PE
2017-09-12,2003,TOYOTA,CAMRY,PE
2017-09-18,2009,TOYOTA,MATRIX,PE
2017-09-18,2008,NISSAN,ROGUE,NS
2017-08-29,2011,FORD,FIESTA,NS
2017-09-19,2009,HYUNDAI,ELANTRA,PE
2017-09-19,2016,HYUNDAI,SANTA FE,PE
2017-09-15,2007,DODGE,CALIBER,PE
2017-08-28,2006,CHEVROLET,COBALT,PE
2017-08-28,2006,KIA,RIO,NS
2017-09-15,2015,HYUNDAI,ACCENT,PE
2017-09-14,2006,HYUNDAI,ELANTRA,NB
2017-09-14,2012,HONDA,CIVIC,PE
2017-09-19,2017,TOYOTA,PRIUS,PE
2017-08-29,2012,KIA,SOUL,PE
2017-09-19,2010,TOYOTA,MATRIX,PE
2017-09-14,2009,GMC,SIERRA,PE
2017-09-06,2014,TOYOTA,COROLLA,PE
2017-09-15,2017,HONDA,CIVIC,PE
2017-09-15,2016,MAZDA,CX9,PE
2017-09-12,2006,GMC,SILVERADO,PE
2017-09-12,2017,JEEP,WRANGLER,PE
2017-08-28,2014,TOYOTA,YARIS,NS
2017-08-28,2009,HYUNDAI,ACCENT,NS
2017-08-28,2009,TOYOTA,MATRIX,PE
2017-09-14,2016,MAZDA,CX5,NS
2017-08-29,2011,TOYOTA,MATRIX,PE
2017-09-18,2012,KIA,FORTE,PE
2017-09-14,2008,HONDA,COUPE,NB
2017-09-06,2004,PONTIAC,VIBE,PE
2017-08-29,2009,TOYOTA,YARIS,PE
2017-09-15,2011,DODGE,CHARGER,NS
2017-09-14,2009,VW,JETTA,PE
2017-09-19,2016,DODGE,CARAVAN,PE
2017-09-14,2012,HONDA,,PE
2017-09-14,2010,CHEVROLET,CAMARO,PE
2017-09-14,2010,DODGE,GRAND CARAVAN,PE
2017-09-07,2017,TOYOTA,COROLLA,PE
2017-09-19,2012,VW,TIGUAN,PE
2017-09-15,2009,HYUNDAI,ACCENT,PE
2017-09-18,2010,HYUNDAI,,VT
2017-09-18,2003,VW,JETTA,NS
2017-08-29,2013,CHEVROLET,CRUZE,NS
2017-09-14,2007,FORD,RANGER,PE
2017-09-13,2016,FORD,F-150,PE
2017-09-14,2013,TOYOTA,COROLLA,PE
2017-09-19,2014,NISSAN,ROGUE,PE
2017-09-19,2009,CHRYSLER,SEBRING,PE
2017-09-14,2003,TOYOTA,ECHO,PE
2017-09-14,2011,MAZDA,3,NS
2017-09-14,2006,HONDA,CIVIC,PE
2017-09-18,2016,MAZDA,CX3,PE
2017-09-14,2010,TOYOTA,COROLLA,PE
2017-09-18,2002,HONDA,CIVIC COUPE,AB
2017-09-06,2012,FORD,FOCUS,PE
2017-08-28,2009,HYUNDAI,ELANTRA,ME
2017-08-28,2013,FORD,F-150,ME
2017-09-14,2004,TOYOTA,RAV 4,PE
2017-08-29,2004,HYUNDAI,ELANTRA,PE
2017-09-14,2006,KIA,RIO 5,PE
2017-09-18,2010,HONDA,INSIGHT,PE
2017-08-29,2008,TOYOTA,YARIS,PE
2017-09-18,2014,TOYOTA,YARIS,PE
2017-09-11,2013,HYUNDAI,ACCENT,PE
2017-09-06,2008,FORD,FUSION,PE
2017-09-18,2007,HYUNDAI,ACCENT,PE
2017-08-29,2015,HYUNDAI,ACCENT,PE
2017-09-18,2008,MAZDA,3,PE
2017-08-28,2011,VW,JETTA,PE
2017-09-14,2008,CHEVROLET,MALIBU,PE
2017-09-15,2015,CHEVROLET,SONIC,PE
2017-09-15,2009,HONDA,ACCORD,PE
2017-09-19,2013,TOYOTA,COROLLA,PE
2017-08-29,2010,TOYOTA,COROLLA,PE
2017-09-19,2008,PONTIAC,G5,AB
2017-09-19,2010,HONDA,CIVIC,PE
2017-09-14,2006,HONDA,CIVIC,PE
2017-08-29,2016,HONDA,CIVIC,NS
2017-09-06,2017,HONDA,CRV,PE
2017-09-14,2014,TOYOTA,YARIS,PE
2017-09-14,2006,TOYOTA,COROLLA,NS
2017-09-14,2008,KIA,RIO,NS
2017-09-18,2011,CHEVROLET,CRUZE,NB
2017-09-15,2013,HYUNDAI,ELANTRA,PE
2017-08-28,2010,HYUNDAI,ACCENT,NB
2017-09-19,2011,FORD,FOCUS,PE
2017-09-19,2015,VW,GOLF,PE
2017-09-14,2015,TOYOTA,YARIS,PE
2017-09-19,2015,MAZDA,3,NS
2017-09-14,2011,TOYOTA,MATRIX,NB
2017-09-15,2007,PONTIAC,WAVE,PE
2017-09-06,2010,TOYOTA,COROLLA,PE
2017-08-29,2011,TOYOTA,MATRIX,PE
2017-08-28,2005,KIA,SORENTO,PE
2017-09-19,2014,HONDA,CRV,PE
2017-09-14,2014,MITSUBISHI,LANCER,NB
2017-09-01,2015,HONDA,FIT,PE
2017-08-29,2007,TOYOTA,YARIS,PE
